N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,삼성전자,"81,100",800,-0.98%,100,"4,841,494","5,969,783",53.80,"14,855,567",19.47,9.99,
2,SK하이닉스,"122,500","5,000",-3.92%,"5,000","891,803","728,002",49.47,"5,977,928",17.50,9.53,
3,삼성전자우,"74,200",0,0.00%,100,"610,582","822,887",76.51,"830,535",17.82,N/A,
4,NAVER,"358,500","4,000",-1.10%,100,"588,884","164,263",56.57,"359,901",3.65,15.22,
5,카카오,"129,000",500,+0.39%,100,"572,576","443,857",33.28,"1,925,086",187.77,2.70,
6,LG화학,"802,000","6,000",-0.74%,"5,000","566,151","70,592",45.57,"146,160",34.91,2.93,
7,삼성바이오로직스,"834,000","21,000",-2.46%,"2,500","551,816","66,165",10.17,"115,248",207.98,N/A,
8,현대차,"239,500","4,000",-1.64%,"5,000","511,735","213,668",30.04,"935,366",28.98,2.04,
9,삼성SDI,"606,000","9,000",-1.46%,"5,000","416,713","68,765",42.42,"244,994",59.36,4.54,
10,기아,"90,300","1,200",-1.31%,"5,000","366,043","405,363",33.58,"3,087,419",16.22,5.05,
11,셀트리온,"261,500","7,500",-2.79%,"1,000","360,652","137,917",20.71,"597,694",59.99,16.68,
12,POSCO,"333,500","7,500",-2.20%,"5,000","290,768","87,187",53.96,"534,914",13.03,3.61,
13,현대모비스,"287,500",500,-0.17%,"5,000","272,530","94,793",36.48,"468,745",15.34,4.66,
14,삼성물산,"140,000","3,000",-2.10%,100,"261,642","186,887",14.78,"354,239",16.68,3.81,
15,SK이노베이션,"274,500","4,500",+1.67%,"5,000","253,818","92,466",23.03,"746,911",-25.96,-13.58,
16,LG전자,"150,500","2,000",-1.31%,"5,000","246,290","163,648",30.49,"557,057",14.02,13.23,
17,LG생활건강,"1,517,000","5,000",-0.33%,"5,000","236,928","15,618",45.32,"25,644",32.70,17.92,
18,KB금융,"56,900","1,000",-1.73%,"5,000","236,595","415,808",68.90,"809,343",5.92,8.53,
19,SK텔레콤,"327,500",500,-0.15%,500,"235,997","72,060",45.51,"273,592",15.08,6.44,
20,신한지주,"42,150",600,-1.40%,"5,000","217,747","516,600",60.75,"968,226",5.91,8.20,
21,SK,"269,000",500,-0.19%,200,"189,269","70,360",20.39,"129,028",31.33,1.11,
22,엔씨소프트,"858,000","15,000",+1.78%,500,"188,366","21,954",52.01,"77,984",39.84,20.83,
23,한국전력,"26,200",100,-0.38%,"5,000","168,195","641,964",15.96,"3,936,764",8.19,2.91,
24,삼성생명,"82,500","1,100",-1.32%,500,"165,000","200,000",13.25,"338,230",7.77,3.53,
25,아모레퍼시픽,"281,000","6,000",+2.18%,500,"164,268","58,458",33.72,"237,877",196.64,0.78,
26,LG,"97,900","1,500",-1.51%,"5,000","153,998","157,301",33.33,"350,654",8.98,7.50,
27,HMM,"43,750","1,300",-2.89%,"5,000","151,109","345,392",12.67,"9,449,443",41.47,8.93,
28,삼성에스디에스,"186,000","1,500",-0.80%,500,"143,923","77,378",11.61,"109,555",22.87,6.71,
29,하나금융지주,"46,050",850,-1.81%,"5,000","138,261","300,242",68.71,"892,376",4.91,8.96,
30,삼성전기,"174,500","1,500",-0.85%,"5,000","130,340","74,694",31.00,"438,106",19.20,10.92,
31,넷마블,"138,500",0,0.00%,100,"119,046","85,954",23.34,"286,693",37.68,6.35,
32,SK바이오사이언스,"155,500",500,+0.32%,500,"118,958","76,500",3.41,"226,297",120.82,13.25,
33,대한항공,"34,000","1,300",+3.98%,"5,000","118,259","347,821",10.94,"9,696,057",14.54,-7.22,
34,S-Oil,"103,500","2,500",+2.48%,"2,500","116,523","112,583",77.08,"486,076",28.12,-13.07,
35,KT&G,"84,300",700,-0.82%,"5,000","115,738","137,292",38.80,"419,067",10.05,13.22,
36,두산중공업,"26,100",750,+2.96%,"5,000","110,268","422,482",6.22,"48,835,296",-14.66,-37.20,
37,포스코케미칼,"141,500",0,0.00%,500,"109,610","77,463",7.66,"153,256",170.07,2.96,
38,삼성화재,"219,500",500,+0.23%,500,"103,988","47,375",47.75,"136,877",10.94,4.96,
39,SK아이이테크놀로지,"142,000","1,000",-0.70%,"1,000","101,243","71,298",5.41,"217,397",N/A,11.00,
40,한국조선해양,"138,000","2,000",-1.43%,"5,000","97,667","70,773",17.95,"331,191",-10.56,-7.42,
41,롯데케미칼,"273,000","2,000",-0.73%,"5,000","93,572","34,275",25.88,"197,785",12.61,1.22,
42,하이브,"262,000","3,000",-1.13%,500,"93,334","35,624",10.92,"165,205",93.21,12.52,
43,SK바이오팜,"119,000","1,000",-0.83%,500,"93,193","78,313",7.54,"560,061",-172.71,-135.18,
44,한온시스템,"17,400",100,-0.57%,100,"92,881","533,800",19.22,"881,366",68.77,5.09,
45,KT,"33,350",200,-0.60%,"5,000","87,081","261,112",43.86,"1,095,952",11.58,4.76,
46,우리금융지주,"11,550",100,-0.86%,"5,000","83,422","722,268",26.41,"1,611,968",5.73,5.87,
47,한화솔루션,"43,500",850,-1.92%,"5,000","83,206","191,278",16.39,"1,739,471",11.66,5.30,
48,LG디스플레이,"23,050",450,-1.91%,"5,000","82,477","357,816",20.89,"2,980,095",24.42,-0.79,
49,고려아연,"430,000","6,000",-1.38%,"5,000","81,141","18,870",21.83,"36,350",12.59,8.37,
50,기업은행,"10,850",150,-1.36%,"5,000","80,757","744,301",12.95,"1,517,193",5.31,6.44,
